patterns,response
what is the only food that has a natural preservative,Honey is a natural preservative.
what is the only animal that has a blue tongue,A giraffe has a blue tongue.
what is the fear of numbers called,Arithmophobia is the fear of numbers.
what is the largest fish in the world,The whale shark is the largest fish.
what is the only country that has a unicorn as its national animal,Scotland has the unicorn as its national animal.
what is the only food that can be used as a sweetener and a medicine,Honey can be used as both.
what is the only animal that sleeps with one eye open,Dolphins sleep with one eye open.
what is the fear of flying called,Aviophobia is the fear of flying.
what is the largest living reptile,The saltwater crocodile is the largest living reptile.
what is the only country that has never changed its flag,Denmark has the oldest continuous national flag.
what is the only food that is a vegetable but is commonly cooked as a grain,Quinoa is botanically a seed but used as a grain.
what is the only animal that can distinguish between individual human faces,Sheep can recognize individual human faces.
what is the fear of clowns called,Coulrophobia is the fear of clowns.
what is the fastest bird,The Peregrine Falcon is the fastest bird.
what is the only country that is entirely above sea level,Lesotho is entirely above sea level.
what is the only food that is a fruit but is used as a vegetable,An avocado is botanically a fruit but used as a vegetable.
what is the only animal that has a tongue longer than its body,A chameleon has a tongue longer than its body.
what is the fear of long words called,Hippopotomonstrosesquippedaliophobia is the fear of long words.
what is the largest amphibian,The Chinese Giant Salamander is the largest amphibian.
what is the only country that has two capital cities,South Africa has three capital cities, but none have two.
what is the only food that is both a fruit and a vegetable,A tomato is botanically a fruit but used culinarily as a vegetable.
